,popularity
18260,64
18261,8
18262,85
18264,76
18265,30
18266,80
18267,52
18268,75
18269,18
18270,80
18271,50
18272,83
18274,80
18275,47
18276,82
18277,36
18278,73
18279,44
18280,72
18281,33
18282,82
18283,38
18284,72
18285,28
18286,73
18287,37
18288,71
18289,31
18290,72
18291,44
18292,80
18293,32
18294,81
18295,39
18296,71
18297,32
18298,72
18299,40
18300,71
18301,32
18302,79
18304,75
18305,30
18306,70
18307,33
18308,81
18309,30
18310,78
18311,35
18312,69
18313,30
18314,74
18315,27
18316,76
18317,30
18318,69
18319,36
18320,76
18321,30
18322,68
18323,30
18324,68
18325,30
18326,72
18327,26
18328,70
18329,30
18330,73
18331,22
18332,69
18334,72
18336,78
18337,18
18338,68
18339,24
18340,68
18341,27
18342,68
18343,22
18344,68
18345,27
18346,69
18347,33
18348,68
18349,29
18350,71
18352,74
18354,73
18355,23
18356,67
18357,26
18358,66
18359,23
18360,68
18361,26
18362,76
18363,28
18364,78
18365,25
18366,67
18367,19
18368,72
18369,25
18370,75
18371,19
18372,76
18373,25
18374,76
18375,21
18376,75
18377,24
18378,70
18379,20
18380,75
18381,13
18382,72
18383,12
18384,66
18385,19
18386,74
18387,18
18388,66
18389,18
18390,67
18391,17
18392,66
18393,14
18394,66
18395,16
18396,72
18397,16
18398,77
18399,11
18400,66
18401,16
18402,69
18403,11
18404,67
18405,31
18406,74
18407,13
18408,70
18409,16
18410,67
18411,15
18412,65
18413,18
18414,66
18415,10
18416,65
18417,15
18418,70
18419,12
18420,66
18421,14
18422,66
18423,11
18424,77
18425,13
18426,70
18427,14
18428,65
18429,11
18430,65
18431,11
18432,66
18433,9
18434,65
18435,12
18436,74
18437,10
18438,71
18439,9
18440,65
18441,10
18442,73
18443,11
18444,74
18445,13
18446,74
18447,7
18448,67
18449,6
18450,64
18451,13
18452,65
18453,7
18454,74
18455,15
18456,74
18457,9
18458,65
18459,11
18460,66
18461,11
18462,89
18464,77
18466,86
18467,18
18468,85
18469,42
18470,85
18472,82
18474,76
18476,76
18477,23
18478,74
18479,23
18480,75
18482,73
18483,35
18484,81
18485,22
18486,84
18487,15
18488,76
18490,76
18491,20
18492,82
18493,21
18494,73
18495,17
18496,82
18497,22
18498,76
18499,17
18500,71
18501,17
18502,76
18503,16
18504,71
18505,19
18506,75
18507,15
18508,78
18509,14
18510,74
18511,19
18512,75
18513,17
18514,76
18515,15
18516,74
18517,14
18518,73
18519,15
18520,76
18521,15
18522,79
18523,16
18524,78
18525,14
18526,80
18527,14
18528,71
18529,14
18530,70
18531,14
18532,75
18533,14
18534,74
18535,14
18536,75
18537,12
18538,69
18539,13
18540,75
18541,14
18542,68
18543,13
18544,76
18545,13
18546,71
18547,13
18548,69
18549,13
18550,72
18551,15
18552,78
18553,10
18554,68
18555,10
18556,68
18557,10
18558,74
18559,10
18560,73
18561,10
18562,68
18563,10
18564,74
18565,14
18566,68
18567,9
18568,76
18569,16
18570,69
18571,12
18572,70
18573,10
18574,69
18575,14
18576,72
18577,8
18578,76
18579,11
18580,68
18581,12
18582,66
18583,14
18584,67
18585,10
18586,70
18587,10
18588,67
18589,10
18590,71
18591,14
18592,70
18593,11
18594,70
18595,14
18596,68
18597,14
18598,69
18599,7
18600,68
18601,30
18602,76
18603,12
18604,67
18605,12
18606,70
18607,12
18608,72
18609,35
18610,67
18611,10
18612,75
18614,78
18615,11
18616,67
18617,6
18618,66
18619,10
18620,68
18621,11
18622,75
18623,12
18624,65
18625,13
18626,65
18627,11
18628,70
18629,13
18630,71
18631,12
18632,72
18633,14
18634,67
18635,16
18636,71
18637,11
18638,69
18639,8
18640,77
18641,10
18642,72
18643,9
18644,74
18645,9
18646,76
18648,66
18650,65
18651,11
18652,74
18653,11
18654,74
18655,9
18656,70
18657,8
18658,66
18659,11
18660,65
18661,10
18662,88
18663,28
18664,84
18666,77
18667,31
18668,79
18669,31
18670,75
18671,35
18672,82
18673,29
18674,79
18675,25
18676,73
18677,30
18678,73
18679,23
18680,82
18681,28
18682,73
18683,20
18684,80
18685,18
18686,81
18687,18
18688,80
18689,17
18690,78
18691,22
18692,78
18693,14
18694,80
18695,13
18696,71
18697,13
18698,81
18699,25
18700,83
18701,25
18702,76
18703,13
18704,78
18705,18
18706,70
18707,13
18708,77
18709,33
18710,78
18711,16
18712,73
18713,12
18714,74
18715,15
18716,78
18717,12
18718,71
18719,31
18720,69
18721,22
18722,77
18723,11
18724,83
18725,16
18726,79
18727,16
18728,72
18729,12
18730,82
18731,15
18732,79
18733,36
18734,69
18735,33
18736,72
18737,16
18738,70
18739,10
18740,77
18741,7
18742,69
18743,9
18744,76
18745,15
18746,78
18747,20
18748,72
18749,9
18750,76
18751,28
18752,69
18754,77
18755,14
18756,68
18757,9
18758,72
18759,26
18760,69
18761,14
18762,68
18763,8
18764,71
18765,13
18766,71
18767,13
18768,78
18769,13
18770,71
18771,9
18772,68
18773,26
18774,69
18775,31
18776,68
18777,12
18778,77
18779,12
18780,69
18781,12
18782,72
18783,12
18784,68
18785,8
18786,69
18787,22
18788,70
18789,24
18790,67
18791,12
18792,71
18793,12
18794,78
18795,12
18796,67
18797,16
18798,68
18799,8
18800,67
18801,7
18802,78
18803,8
18804,74
18805,11
18806,67
18807,10
18808,69
18809,24
18810,74
18811,26
18812,66
18813,13
18814,67
18815,8
18816,68
18817,9
18818,73
18819,7
18820,71
18822,74
18823,10
18824,70
18825,28
18826,68
18827,12
18828,66
18829,7
18830,77
18831,6
18832,68
18833,33
18834,80
18835,31
18836,72
18837,9
18838,74
18839,27
18840,67
18841,24
18842,67
18843,7
18844,67
18845,11
18846,68
18847,8
18848,76
18849,7
18850,69
18851,8
18852,67
18853,7
18854,66
18855,8
18856,74
18857,8
18858,67
18859,8
18860,67
18861,8
18862,87
18863,18
18864,85
18866,85
18867,33
18868,79
18870,82
18872,84
18873,44
18874,75
18875,25
18876,78
18878,84
18879,37
18880,78
18881,41
18882,74
18883,40
18884,79
18885,42
18886,76
18887,39
18888,79
18889,37
18890,83
18891,28
18892,74
18893,26
18894,76
18895,35
18896,80
18897,31
18898,77
18900,75
18901,26
18902,76
18903,33
18904,76
18905,35
18906,76
18907,28
18908,75
18910,76
18911,27
18912,72
18913,17
18914,81
18915,24
18916,76
18917,19
18918,80
18919,24
18920,73
18921,19
18922,79
18923,19
18924,71
18925,18
18926,76
18927,26
18928,81
18929,27
18930,76
18931,24
18932,72
18934,76
18936,79
18937,25
18938,76
18939,27
18940,78
18941,14
18942,72
18943,19
18944,81
18945,13
18946,71
18947,12
18948,73
18949,19
18950,78
18951,14
18952,81
18953,12
18954,73
18955,13
18956,73
18957,13
18958,70
18959,16
18960,72
18961,17
18962,73
18963,11
18964,73
18965,27
18966,73
18967,11
18968,80
18969,12
18970,70
18971,23
18972,75
18973,17
18974,76
18975,11
18976,70
18978,72
18979,13
18980,73
18981,17
18982,73
18983,10
18984,68
18985,10
18986,71
18987,13
18988,72
18989,13
18990,75
18991,10
18992,72
18993,10
18994,72
18995,13
18996,74
18997,13
18998,74
19000,71
19002,76
19004,73
19006,75
19008,71
19009,11
19010,71
19011,11
19012,76
19013,25
19014,72
19015,12
19016,75
19017,12
19018,72
19019,11
19020,70
19021,11
19022,75
19023,9
19024,71
19025,11
19026,72
19027,11
19028,72
19029,10
19030,73
19031,12
19032,76
19033,17
19034,72
19035,9
19036,72
19038,69
19039,15
19040,74
19041,17
19042,73
19043,10
19044,68
19045,16
19046,76
19047,9
19048,70
19049,11
19050,69
19051,15
19052,68
19053,11
19054,72
19055,11
19056,68
19057,9
19058,77
19060,71
19061,17
19062,88
19064,87
19065,18
19066,82
19068,86
19070,82
19071,38
19072,81
19074,79
19075,33
19076,75
19077,33
19078,80
19079,42
19080,79
19081,28
19082,78
19083,32
19084,79
19085,31
19086,83
19088,84
19090,79
19091,33
19092,79
19093,30
19094,77
19095,37
19096,81
19097,30
19098,74
19100,79
19102,78
19103,30
19104,77
19105,18
19106,74
19107,30
19108,78
19110,73
19111,25
19112,76
19113,18
19114,77
19115,32
19116,77
19118,81
19119,27
19120,76
19121,30
19122,74
19123,35
19124,80
19125,33
19126,77
19127,24
19128,77
19130,79
19132,72
19133,22
19134,80
19135,22
19136,77
19137,22
19138,74
19139,22
19140,79
19141,22
19142,78
19143,21
19144,73
19145,21
19146,72
19147,21
19148,74
19149,22
19150,71
19151,21
19152,78
19153,21
19154,73
19155,21
19156,80
19157,21
19158,74
19159,22
19160,71
19162,70
19163,23
19164,73
19165,16
19166,71
19167,21
19168,81
19169,17
19170,79
19171,21
19172,72
19174,70
19175,26
19176,75
19178,73
19180,75
19181,19
19182,73
19184,76
19185,27
19186,72
19187,16
19188,75
19189,21
19190,71
19191,19
19192,73
19193,23
19194,74
19195,17
19196,69
19197,28
19198,73
19200,72
19201,18
19202,73
19203,16
19204,70
19205,19
19206,78
19208,79
19209,11
19210,73
19211,16
19212,74
19213,25
19214,74
19215,21
19216,74
19217,15
19218,74
19219,12
19220,70
19221,20
19222,78
19223,39
19224,69
19225,33
19226,78
19227,13
19228,68
19230,72
19231,15
19232,70
19233,14
19234,78
19236,76
19237,21
19238,71
19239,15
19240,72
19241,9
19242,76
19243,12
19244,71
19245,12
19246,73
19247,12
19248,74
19249,16
19250,81
19252,74
19253,11
19254,79
19256,76
19257,11
19258,78
19260,69
19262,87
19263,18
19264,85
19266,82
19267,28
19268,83
19269,32
19270,83
19271,33
19272,81
19273,25
19274,80
19275,22
19276,80
19277,26
19278,81
19279,37
19280,82
19281,27
19282,82
19283,25
19284,77
19286,78
19287,31
19288,77
19289,20
19290,78
19291,37
19292,87
19293,38
19294,86
19295,18
19296,79
19297,29
19298,82
19299,13
19300,80
19301,29
19302,84
19304,78
19305,20
19306,78
19307,24
19308,74
19309,31
19310,79
19312,79
19313,19
19314,76
19315,37
19316,78
19317,18
19318,74
19320,82
19322,81
19324,79
19325,30
19326,77
19327,18
19328,82
19329,39
19330,79
19331,13
19332,83
19333,19
19334,78
19336,78
19337,16
19338,75
19339,16
19340,78
19341,18
19342,82
19343,28
19344,78
19345,26
19346,76
19347,15
19348,76
19349,16
19350,74
19351,15
19352,75
19353,27
19354,79
19355,15
19356,79
19358,81
19359,15
19360,79
19362,77
19363,22
19364,77
19365,15
19366,75
19368,76
19369,22
19370,76
19371,15
19372,75
19373,33
19374,73
19375,19
19376,77
19377,9
19378,80
19380,85
19381,24
19382,80
19383,32
19384,75
19385,14
19386,77
19387,12
19388,74
19389,17
19390,74
19391,25
19392,74
19393,25
19394,76
19395,8
19396,77
19398,82
19399,14
19400,76
19401,14
19402,82
19403,14
19404,77
19405,13
19406,78
19407,18
19408,80
19409,14
19410,75
19411,14
19412,75
19413,24
19414,78
19415,9
19416,74
19417,8
19418,75
19420,73
19421,12
19422,74
19424,74
19425,18
19426,75
19427,18
19428,77
19429,18
19430,77
19431,21
19432,78
19434,78
19436,74
19438,72
19439,13
19440,70
19441,32
19442,78
19443,13
19444,77
19445,21
19446,73
19447,12
19448,73
19449,18
19450,79
19451,20
19452,79
19453,18
19454,78
19455,22
19456,70
19457,9
19458,74
19459,17
19460,75
19461,19
19462,87
19463,22
19464,88
19465,51
19466,84
19467,18
19468,80
19469,49
19470,91
19472,88
19473,50
19474,79
19475,33
19476,86
19477,48
19478,82
19479,28
19480,86
19481,51
19482,79
19483,31
19484,81
19485,46
19486,84
19487,30
19488,81
19489,47
19490,85
19491,30
19492,85
19493,44
19494,81
19496,81
19497,45
19498,84
19499,18
19500,83
19501,41
19502,84
19503,28
19504,81
19505,45
19506,85
19508,81
19509,44
19510,78
19512,83
19513,45
19514,83
19516,80
19517,39
19518,84
19519,18
19520,79
19521,41
19522,78
19524,81
19525,48
19526,79
19527,41
19528,78
19529,38
19530,84
19531,38
19532,78
19533,40
19534,79
19535,38
19536,80
19537,36
19538,77
19539,38
19540,78
19541,36
19542,83
19543,33
19544,78
19545,34
19546,74
19547,33
19548,80
19549,33
19550,78
19551,38
19552,83
19553,33
19554,79
19555,33
19556,83
19557,33
19558,80
19559,33
19560,77
19561,33
19562,81
19563,33
19564,77
19565,32
19566,76
19567,39
19568,75
19569,34
19570,82
19571,33
19572,79
19573,31
19574,81
19575,32
19576,80
19577,31
19578,81
19579,32
19580,76
19581,32
19582,80
19583,31
19584,76
19585,39
19586,75
19587,31
19588,84
19589,31
19590,79
19591,31
19592,82
19593,36
19594,78
19595,36
19596,77
19597,32
19598,82
19599,29
19600,78
19602,79
19603,34
19604,81
19605,38
19606,77
19607,36
19608,74
19609,38
19610,81
19611,35
19612,84
19613,22
19614,77
19615,22
19616,74
19617,22
19618,75
19619,22
19620,82
19621,22
19622,76
19623,21
19624,77
19625,21
19626,77
19627,21
19628,75
19629,22
19630,71
19631,21
19632,75
19633,21
19634,76
19635,21
19636,76
19637,21
19638,82
19639,23
19640,77
19641,30
19642,76
19643,29
19644,75
19645,20
19646,75
19647,20
19648,78
19649,43
19650,80
19651,23
19652,77
19653,32
19654,80
19655,20
19656,72
19657,33
19658,78
19659,22
19660,73
19661,19
19662,89
19663,30
19664,87
19665,50
19666,89
19667,30
19668,87
19669,39
19670,91
19671,47
19672,90
19673,19
19674,84
19675,38
19676,86
19677,32
19678,87
19679,38
19680,83
19681,33
19682,86
19683,39
19684,85
19685,32
19686,84
19687,31
19688,88
19689,31
19690,83
19691,32
19692,86
19693,31
19694,87
19695,39
19696,87
19697,30
19698,84
19699,33
19700,79
19701,30
19702,81
19703,30
19704,86
19705,36
19706,81
19707,36
19708,84
19709,32
19710,87
19711,31
19712,89
19713,24
19714,85
19715,29
19716,81
19717,31
19718,82
19719,29
19720,86
19721,30
19722,85
19723,28
19724,81
19725,30
19726,83
19727,30
19728,82
19729,29
19730,86
19731,29
19732,82
19733,32
19734,80
19735,29
19736,88
19737,34
19738,78
19739,38
19740,76
19741,28
19742,81
19743,28
19744,84
19745,29
19746,81
19747,28
19748,84
19749,28
19750,83
19751,28
19752,78
19753,36
19754,84
19755,21
19756,81
19757,38
19758,80
19759,28
19760,80
19761,28
19762,82
19763,28
19764,75
19765,32
19766,80
19767,27
19768,86
19769,26
19770,76
19771,28
19772,77
19773,26
19774,75
19775,26
19776,85
19777,26
19778,81
19779,35
19780,89
19781,33
19782,83
19783,30
19784,85
19785,30
19786,78
19787,30
19788,84
19789,30
19790,79
19791,29
19792,82
19793,16
19794,79
19795,32
19796,83
19797,14
19798,78
19799,17
19800,76
19801,34
19802,79
19803,43
19804,79
19805,19
19806,82
19807,26
19808,80
19809,20
19810,83
19811,26
19812,81
19813,25
19814,76
19815,24
19816,83
19817,16
19818,76
19819,19
19820,80
19821,26
19822,78
19823,23
19824,87
19825,25
19826,78
19827,23
19828,76
19829,24
19830,79
19831,19
19832,80
19833,22
19834,77
19835,22
19836,81
19837,27
19838,77
19839,25
19840,77
19841,28
19842,77
19843,17
19844,78
19845,10
19846,77
19847,24
19848,77
19849,26
19850,76
19851,21
19852,77
19853,13
19854,75
19855,27
19856,75
19857,28
19858,81
19859,26
19860,75
19861,26
19862,96
19863,30
19864,91
19865,41
19866,96
19867,36
19868,94
19869,30
19870,94
19872,94
19873,32
19874,91
19876,94
19877,32
19878,93
19880,92
19881,32
19882,89
19884,92
19885,30
19886,95
19888,88
19889,30
19890,88
19892,91
19893,30
19894,90
19896,91
19897,30
19898,89
19900,93
19901,27
19902,90
19904,87
19905,27
19906,87
19908,92
19909,29
19910,86
19912,89
19913,26
19914,87
19916,85
19917,26
19918,84
19920,85
19921,25
19922,85
19924,91
19925,25
19926,84
19928,94
19929,25
19930,82
19932,83
19933,24
19934,90
19936,88
19937,22
19938,79
19940,83
19941,22
19942,82
19944,87
19945,22
19946,83
19948,82
19949,19
19950,81
19952,85
19953,20
19954,89
19956,87
19957,20
19958,83
19960,87
19961,20
19962,87
19964,83
19965,19
19966,85
19968,82
19969,19
19970,83
19972,85
19973,19
19974,91
19976,95
19978,83
19980,84
19982,83
19984,91
19986,82
19988,90
19990,84
19992,82
19994,82
19996,90
19998,87
20000,86
20002,83
20004,82
20006,81
20008,84
20010,80
20012,85
20014,80
20016,87
20018,91
20020,82
20022,78
20024,89
20026,85
20028,81
20030,85
20032,78
20034,84
20036,81
20038,81
20040,82
20042,80
20044,80
20046,82
20048,90
20050,83
20052,84
20054,81
20056,80
20058,83
20060,89
20063,30
20067,36
20071,18
20141,36
20213,14
28557,0
28559,0
28565,0
28567,0
28569,5
28573,1
28575,1
28577,1
28579,5
28581,1
28583,0
28585,0
28587,0
28589,0
28591,0
28595,0
28597,0
28599,0
28601,0
28603,0
28605,0
28607,0
28609,0
28611,0
28613,0
28615,0
28617,0
28619,0
28621,0
28623,0
28625,0
28627,0
28629,0
28631,0
28633,0
28635,1
28637,0
28639,0
28641,0
28643,1
35327,22
35335,9
35349,6
35357,14
35365,7
35367,11
35373,29
35375,12
35397,6
35399,7
35425,35
35427,18
35429,21
35433,4
35439,3
35441,5
35445,5
35447,6
35451,6
35453,3
35455,4
35461,5
35485,6
35491,25
35493,12
35495,11
35497,11
35499,9
35501,13
35503,19
35505,11
35507,11
35509,11
35511,12
35513,5
35515,12
35517,13
35525,4
35581,23
35591,21
35605,19
35609,20
35611,18
35619,19
35621,19
35623,19
35625,17
35627,17
35639,11
35641,20
35643,11
35653,15
35655,16
35657,16
35659,16
35661,19
35827,9
35829,8
35831,10
35833,11
35835,16
35837,12
35839,0
35841,0
35843,0
35845,0
35861,0
35865,0
35867,0
35869,0
35873,0
35877,11
35879,0
35883,23
35885,0
35887,0
35891,2
35893,4
35897,0
35899,2
35901,4
35905,0
35907,0
35909,1
35911,0
35913,3
35915,0
35917,4
35919,3
35921,0
35923,1
35925,0
35927,0
35929,1
35931,0
35933,0
35935,4
35937,0
35939,2
35941,3
35947,3
35949,0
35951,0
35953,0
35955,1
35957,0
35959,0
35961,0
35963,1
35965,0
35969,0
35971,0
35973,0
35975,1
35977,2
35979,0
35981,1
35983,0
35985,5
35987,6
35989,4
35991,1
35993,0
35995,0
35997,0
35999,0
36001,0
36003,0
36005,0
36007,0
36009,0
36011,0
36013,0
36015,0
36017,0
36023,2
36025,2
36036,3
36040,4
36042,13
36044,9
36048,6
36050,5
36054,11
36058,11
36060,9
36062,10
36064,11
36066,10
36070,7
36072,5
36074,5
36076,6
36078,6
36080,5
36084,6
36086,7
36088,8
36090,6
36092,5
36094,6
36096,5
36098,17
36100,15
36102,27
36104,17
36106,17
36108,15
36229,5
36231,12
36233,14
36235,4
36313,8
36357,0
36359,0
36361,0
36365,0
36369,0
36377,1
36379,0
36381,0
36383,1
36387,0
36389,0
36391,1
36393,0
36395,0
36397,0
36399,0
36401,0
36403,1
36405,1
36407,0
36409,0
36411,0
36413,1
36415,1
36417,0
36419,0
36423,3
36425,6
36427,7
36439,29
36447,9
36451,5
36471,39
36497,5
36515,6
36519,5
36523,7
36527,8
36529,6
36533,16
36535,19
36537,19
36539,13
36629,3
36631,5
36633,4
36635,3
36637,6
36641,3
36643,3
36645,3
36653,18
36655,17
36657,4
36659,14
36661,18
36663,3
36665,18
36789,5
36797,1
36803,1
36805,0
36811,0
36813,4
36815,0
36817,0
36819,0
36821,0
36823,1
36829,5
36849,18
36851,25
36853,24
36855,17
36857,18
36859,6
36945,5
36947,0
36951,0
36953,0
36955,1
36957,0
36961,0
36963,0
36965,0
36967,0
36969,0
36971,0
36973,0
36975,0
36977,1
36979,0
36981,0
36983,0
36985,2
36987,0
36989,0
36991,0
36993,0
36995,0
36997,0
37003,0
37005,0
37007,0
37013,0
37015,0
37017,0
37019,0
37021,3
37023,0
37025,2
37121,5
37123,5
37125,4
37127,0
37131,0
37133,0
37137,1
37139,1
37143,0
37157,2
37159,0
37163,0
37165,0
37167,0
37169,0
37171,0
37173,0
37175,0
37177,0
37179,0
37181,0
37183,0
37185,1
37187,1
37191,0
37195,2
37197,2
37199,0
37201,0
37203,0
37207,1
37209,1
37211,0
37213,0
37215,1
37217,0
37221,0
37223,0
37226,66
37227,3
37228,67
37229,4
37230,64
37231,2
37232,69
37233,3
37234,66
37235,3
37236,69
37237,4
37238,68
37239,11
37240,73
37241,4
37242,62
37243,4
37244,66
37245,4
37246,62
37247,4
37248,62
37249,3
37250,65
37251,3
37252,63
37253,3
37254,64
37256,63
37258,67
37259,5
37260,62
37261,4
37262,69
37263,3
37264,62
37265,3
37266,66
37267,3
37268,64
37269,5
37270,61
37271,3
37272,64
37273,9
37274,66
37275,3
37276,64
37277,11
37278,63
37279,10
37280,66
37281,6
37282,69
37283,12
37284,68
37285,9
37286,70
37287,2
37288,62
37289,9
37290,63
37291,16
37292,69
37293,8
37294,64
37295,2
37296,63
37297,12
37298,63
37299,10
37300,67
37301,2
37302,61
37303,17
37304,61
37305,5
37306,61
37307,4
37308,63
37310,60
37312,62
37313,3
37314,60
37316,72
37318,63
37320,62
37322,70
37324,68
37325,3
37326,60
37327,0
37328,61
37330,67
37331,4
37332,69
37333,1
37334,62
37335,0
37336,62
37337,0
37338,60
37340,60
37341,0
37342,63
37343,0
37344,73
37346,60
37347,1
37348,64
37349,0
37350,60
37351,0
37352,60
37354,60
37355,0
37356,66
37357,0
37358,66
37359,0
